Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages
Emiliano Martínez,ar ARG,GK,Aston Villa,32,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Youri Tielemans,be BEL,CM,Aston Villa,28,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Anthony Gordon,eng ENG,LW,Newcastle Utd,24,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Joelinton,br BRA,CM,Newcastle Utd,28,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Kalvin Phillips,eng ENG,DM,Manchester City,29,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Mateo Kovačić,hr CRO,CM,Manchester City,31,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Moisés Caicedo,ec ECU,DM,Chelsea,23,"£ 150,000 (€ 173,120, $200,811)","£ 7,800,000 (€ 9,002,252, $10,442,149)"
Darwin Núñez,uy URU,CF,Liverpool,26,"£ 140,000 (€ 161,579, $187,423)","£ 7,280,000 (€ 8,402,102, $9,746,005)"
Amadou Onana,be BEL,DM,Aston Villa,23,"£ 140,000 (€ 161,579, $187,423)","£ 7,280,000 (€ 8,402,102, $9,746,005)"
Donyell Malen,nl NED,RW,Aston Villa,26,"£ 140,000 (€ 161,579, $187,423)","£ 7,280,000 (€ 8,402,102, $9,746,005)"
Noussair Mazraoui,ma MAR,RB,Manchester Utd,27,"£ 135,000 (€ 155,808, $180,730)","£ 7,020,000 (€ 8,102,027, $9,397,934)"
Mikel Merino,es ESP,CM,Arsenal,29,"£ 130,000 (€ 150,038, $174,036)","£ 6,760,000 (€ 7,801,952, $9,049,862)"
Ollie Watkins,eng ENG,CF,Aston Villa,29,"£ 130,000 (€ 150,038, $174,036)","£ 6,760,000 (€ 7,801,952, $9,049,862)"
Matheus Nunes,pt POR,CM,Manchester City,26,"£ 130,000 (€ 150,038, $174,036)","£ 6,760,000 (€ 7,801,952, $9,049,862)"
Cole Palmer,eng ENG,AM,Chelsea,23,"£ 130,000 (€ 150,038, $174,036)","£ 6,760,000 (€ 7,801,952, $9,049,862)"
João Félix,pt POR,SS,Chelsea,25,"£ 130,000 (€ 150,038, $174,036)","£ 6,760,000 (€ 7,801,952, $9,049,862)"
Bernd Leno,de GER,GK,Fulham,33,"£ 130,000 (€ 150,038, $174,036)","£ 6,760,000 (€ 7,801,952, $9,049,862)"
Philippe Coutinho,br BRA,AM,Aston Villa,33,"£ 125,000 (€ 144,267, $167,342)","£ 6,500,000 (€ 7,501,877, $8,701,790)"
Jordan Pickford,eng ENG,GK,Everton,31,"£ 125,000 (€ 144,267, $167,342)","£ 6,500,000 (€ 7,501,877, $8,701,790)"
Riccardo Calafiori,it ITA,LB,Arsenal,23,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Amad Diallo,ci CIV,RW,Manchester Utd,22,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
André Onana,cm CMR,GK,Manchester Utd,29,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Lisandro Martínez,ar ARG,CB,Manchester Utd,27,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Manuel Ugarte,,DM,Manchester Utd,24,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Alphonse Areola,fr FRA,GK,West Ham,32,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Cody Gakpo,nl NED,LW,Liverpool,26,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Dominik Szoboszlai,hu HUN,AM,Liverpool,24,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
John McGinn,sct SCO,CM,Aston Villa,30,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Leon Bailey,jm JAM,RW,Aston Villa,27,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Lucas Digne,fr FRA,LB,Aston Villa,31,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Alexander Isak,se SWE,CF,Newcastle Utd,25,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Kieran Trippier,eng ENG,RB,Newcastle Utd,34,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Sandro Tonali,it ITA,CM,Newcastle Utd,25,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Tosin Adarabioyo,eng ENG,CB,Chelsea,27,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Idrissa Gana Gueye,sn SEN,DM,Everton,35,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Jarrad Branthwaite,eng ENG,CB,Everton,23,"£ 120,000 (€ 138,496, $160,648)","£ 6,240,000 (€ 7,201,802, $8,353,719)"
Leny Yoro,,CB,Manchester Utd,19,"£ 115,000 (€ 132,726, $153,955)","£ 5,980,000 (€ 6,901,727, $8,005,647)"
James Ward-Prowse,eng ENG,CM,West Ham,30,"£ 115,000 (€ 132,726, $153,955)","£ 5,980,000 (€ 6,901,727, $8,005,647)"
Dejan Kulusevski,se SWE,AM,Tottenham,25,"£ 110,000 (€ 126,955, $147,261)","£ 5,720,000 (€ 6,601,652, $7,657,576)"
Antony,br BRA,RW,Manchester Utd,25,"£ 105,000 (€ 121,184, $140,567)","£ 5,460,000 (€ 6,301,577, $7,309,504)"
Joshua Zirkzee,nl NED,CF,Manchester Utd,24,"£ 105,000 (€ 121,184, $140,567)","£ 5,460,000 (€ 6,301,577, $7,309,504)"
Daichi Kamada,jp JPN,AM,Crystal Palace,28,"£ 105,000 (€ 121,184, $140,567)","£ 5,460,000 (€ 6,301,577, $7,309,504)"
Nikola Milenković,rs SRB,CB,Nott'ham Forest,27,"£ 105,000 (€ 121,184, $140,567)","£ 5,460,000 (€ 6,301,577, $7,309,504)"
David Raya,es ESP,GK,Arsenal,29,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Reiss Nelson,eng ENG,RW,Arsenal,25,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Takehiro Tomiyasu,jp JPN,RB,Arsenal,26,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Dean Henderson,eng ENG,GK,Crystal Palace,28,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Eberechi Eze,eng ENG,AM,Crystal Palace,27,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Edson Álvarez,mx MEX,DM,West Ham,27,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Max Kilman,eng ENG,CB,West Ham,28,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Jeremie Frimpong,nl NED,RB,Liverpool,24,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Ian Maatsen,nl NED,LB,Aston Villa,23,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Pau Torres,es ESP,CB,Aston Villa,28,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Tyrone Mings,eng ENG,CB,Aston Villa,32,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Matt Targett,eng ENG,LB,Newcastle Utd,29,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Ederson,br BRA,GK,Manchester City,31,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Ben Chilwell,eng ENG,LB,Chelsea,28,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Levi Colwill,eng ENG,CB,Chelsea,22,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Liam Delap,,CF,Chelsea,22,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Mykhailo Mudryk,ua UKR,LW,Chelsea,24,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Nicolas Jackson,sn SEN,CF,Chelsea,24,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
James Tarkowski,eng ENG,CB,Everton,32,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Raúl Jiménez,mx MEX,CF,Fulham,34,"£ 100,000 (€ 115,413, $133,874)","£ 5,200,000 (€ 6,001,501, $6,961,432)"
Emerson Palmieri,it ITA,LB,West Ham,30,"£ 95,000 (€ 109,643, $127,180)","£ 4,940,000 (€ 5,701,426, $6,613,361)"
Jurriën Timber,nl NED,RB,Arsenal,24,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Leandro Trossard,be BEL,LW,Arsenal,30,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Dominic Solanke,eng ENG,CF,Tottenham,27,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Richarlison,br BRA,CF,Tottenham,28,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Eddie Nketiah,eng ENG,CF,Crystal Palace,26,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Odsonne Édouard,fr FRA,CF,Crystal Palace,27,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Jack Harrison,eng ENG,RW,Leeds United,28,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Aaron Wan-Bissaka,eng ENG,RB,West Ham,27,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Niclas Füllkrug,de GER,CF,West Ham,32,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Tomáš Souček,cz CZE,DM,West Ham,30,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Leander Dendoncker,be BEL,DM,Aston Villa,30,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Gonçalo Guedes,pt POR,LW,Wolves,28,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Sven Botman,nl NED,CB,Newcastle Utd,25,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Stefan Ortega,de GER,GK,Manchester City,32,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Benoît Badiashile,fr FRA,CB,Chelsea,24,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Chris Wood,nz NZL,CF,Nott'ham Forest,33,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Joachim Andersen,dk DEN,CB,Fulham,29,"£ 90,000 (€ 103,872, $120,486)","£ 4,680,000 (€ 5,401,351, $6,265,289)"
Ferdi Kadioglu,tr TUR,LB,Brighton,25,"£ 87,500 (€ 100,987, $117,139)","£ 4,550,000 (€ 5,251,314, $6,091,253)"
Diogo Dalot,pt POR,RB,Manchester Utd,26,"£ 85,000 (€ 98,101, $113,793)","£ 4,420,000 (€ 5,101,276, $5,917,218)"
Rasmus Højlund,dk DEN,CF,Manchester Utd,22,"£ 85,000 (€ 98,101, $113,793)","£ 4,420,000 (€ 5,101,276, $5,917,218)"
Pedro Porro,es ESP,RB,Tottenham,25,"£ 85,000 (€ 98,101, $113,793)","£ 4,420,000 (€ 5,101,276, $5,917,218)"
Radu Drăgușin,ro ROU,CB,Tottenham,23,"£ 85,000 (€ 98,101, $113,793)","£ 4,420,000 (€ 5,101,276, $5,917,218)"
Evanilson,br BRA,CF,Bournemouth,25,"£ 85,000 (€ 98,101, $113,793)","£ 4,420,000 (€ 5,101,276, $5,917,218)"
Michail Antonio,jm JAM,CF,West Ham,35,"£ 85,000 (€ 98,101, $113,793)","£ 4,420,000 (€ 5,101,276, $5,917,218)"
Giorgi Mamardashvili,ge GEO,GK,Liverpool,24,"£ 85,000 (€ 98,101, $113,793)","£ 4,420,000 (€ 5,101,276, $5,917,218)"
Joe Gomez,eng ENG,CB,Liverpool,28,"£ 85,000 (€ 98,101, $113,793)","£ 4,420,000 (€ 5,101,276, $5,917,218)"
Ben Davies,wls WAL,CB,Tottenham,32,"£ 80,000 (€ 92,331, $107,099)","£ 4,160,000 (€ 4,801,201, $5,569,146)"
Justin Kluivert,nl NED,AM,Bournemouth,26,"£ 80,000 (€ 92,331, $107,099)","£ 4,160,000 (€ 4,801,201, $5,569,146)"
Matty Cash,pl POL,RB,Aston Villa,27,"£ 80,000 (€ 92,331, $107,099)","£ 4,160,000 (€ 4,801,201, $5,569,146)"
Fábio Silva,pt POR,CF,Wolves,22,"£ 80,000 (€ 92,331, $107,099)","£ 4,160,000 (€ 4,801,201, $5,569,146)"
Harvey Barnes,eng ENG,LW,Newcastle Utd,27,"£ 80,000 (€ 92,331, $107,099)","£ 4,160,000 (€ 4,801,201, $5,569,146)"
Joe Willock,eng ENG,CM,Newcastle Utd,25,"£ 80,000 (€ 92,331, $107,099)","£ 4,160,000 (€ 4,801,201, $5,569,146)"
Kiernan Dewsbury-Hall,eng ENG,CM,Chelsea,26,"£ 80,000 (€ 92,331, $107,099)","£ 4,160,000 (€ 4,801,201, $5,569,146)"
Kaoru Mitoma,jp JPN,LW,Brighton,28,"£ 80,000 (€ 92,331, $107,099)","£ 4,160,000 (€ 4,801,201, $5,569,146)"
Lewis Dunk,eng ENG,CB,Brighton,33,"£ 80,000 (€ 92,331, $107,099)","£ 4,160,000 (€ 4,801,201, $5,569,146)"
Callum Hudson-Odoi,eng ENG,LW,Nott'ham Forest,24,"£ 80,000 (€ 92,331, $107,099)","£ 4,160,000 (€ 4,801,201, $5,569,146)"
Morgan Gibbs-White,eng ENG,AM,Nott'ham Forest,25,"£ 80,000 (€ 92,331, $107,099)","£ 4,160,000 (€ 4,801,201, $5,569,146)"
Alex Iwobi,ng NGA,LW,Fulham,29,"£ 80,000 (€ 92,331, $107,099)","£ 4,160,000 (€ 4,801,201, $5,569,146)"
Martín Zubimendi,es ESP,DM,Arsenal,26,"£ 75,000 (€ 86,560, $100,405)","£ 3,900,000 (€ 4,501,126, $5,221,074)"
Tyrell Malacia,nl NED,LB,Manchester Utd,25,"£ 75,000 (€ 86,560, $100,405)","£ 3,900,000 (€ 4,501,126, $5,221,074)"
Archie Gray,,DM,Tottenham,19,"£ 75,000 (€ 86,560, $100,405)","£ 3,900,000 (€ 4,501,126, $5,221,074)"
Destiny Udogie,it ITA,LB,Tottenham,22,"£ 75,000 (€ 86,560, $100,405)","£ 3,900,000 (€ 4,501,126, $5,221,074)"
Guglielmo Vicario,it ITA,GK,Tottenham,28,"£ 75,000 (€ 86,560, $100,405)","£ 3,900,000 (€ 4,501,126, $5,221,074)"
Rodrigo Bentancur,uy URU,DM,Tottenham,28,"£ 75,000 (€ 86,560, $100,405)","£ 3,900,000 (€ 4,501,126, $5,221,074)"
Antoine Semenyo,gh GHA,LW,Bournemouth,25,"£ 75,000 (€ 86,560, $100,405)","£ 3,900,000 (€ 4,501,126, $5,221,074)"
Guido Rodríguez,ar ARG,DM,West Ham,31,"£ 75,000 (€ 86,560, $100,405)","£ 3,900,000 (€ 4,501,126, $5,221,074)"
Conor Bradley,nir NIR,RB,Liverpool,21,"£ 75,000 (€ 86,560, $100,405)","£ 3,900,000 (€ 4,501,126, $5,221,074)"
Kostas Tsimikas,gr GRE,LB,Liverpool,29,"£ 75,000 (€ 86,560, $100,405)","£ 3,900,000 (€ 4,501,126, $5,221,074)"
Emi Buendía,ar ARG,AM,Aston Villa,28,"£ 75,000 (€ 86,560, $100,405)","£ 3,900,000 (€ 4,501,126, $5,221,074)"
Ezri Konsa,eng ENG,CB,Aston Villa,27,"£ 75,000 (€ 86,560, $100,405)","£ 3,900,000 (€ 4,501,126, $5,221,074)"
Morgan Rogers,eng ENG,AM,Aston Villa,22,"£ 75,000 (€ 86,560, $100,405)","£ 3,900,000 (€ 4,501,126, $5,221,074)"
Georginio Rutter,fr FRA,CF,Brighton,23,"£ 75,000 (€ 86,560, $100,405)","£ 3,900,000 (€ 4,501,126, $5,221,074)"
Ibrahim Sangaré,ci CIV,DM,Nott'ham Forest,27,"£ 75,000 (€ 86,560, $100,405)","£ 3,900,000 (€ 4,501,126, $5,221,074)"
Brennan Johnson,wls WAL,RW,Tottenham,24,"£ 70,000 (€ 80,789, $93,712)","£ 3,640,000 (€ 4,201,051, $4,873,003)"
Pape Matar Sarr,sn SEN,CM,Tottenham,22,"£ 70,000 (€ 80,789, $93,712)","£ 3,640,000 (€ 4,201,051, $4,873,003)"
Cheick Doucouré,ml MLI,DM,Crystal Palace,25,"£ 70,000 (€ 80,789, $93,712)","£ 3,640,000 (€ 4,201,051, $4,873,003)"
Ismaila Sarr,sn SEN,AM,Crystal Palace,27,"£ 70,000 (€ 80,789, $93,712)","£ 3,640,000 (€ 4,201,051, $4,873,003)"
Jefferson Lerma,co COL,DM,Crystal Palace,30,"£ 70,000 (€ 80,789, $93,712)","£ 3,640,000 (€ 4,201,051, $4,873,003)"
Ryan Christie,sct SCO,DM,Bournemouth,30,"£ 70,000 (€ 80,789, $93,712)","£ 3,640,000 (€ 4,201,051, $4,873,003)"
Daniel James,wls WAL,RW,Leeds United,27,"£ 70,000 (€ 80,789, $93,712)","£ 3,640,000 (€ 4,201,051, $4,873,003)"
Patrick Bamford,eng ENG,CF,Leeds United,31,"£ 70,000 (€ 80,789, $93,712)","£ 3,640,000 (€ 4,201,051, $4,873,003)"
Ibrahima Konaté,fr FRA,CB,Liverpool,26,"£ 70,000 (€ 80,789, $93,712)","£ 3,640,000 (€ 4,201,051, $4,873,003)"
Jacob Ramsey,eng ENG,LM,Aston Villa,24,"£ 70,000 (€ 80,789, $93,712)","£ 3,640,000 (€ 4,201,051, $4,873,003)"
Hwang Hee-chan,kr KOR,CF,Wolves,29,"£ 70,000 (€ 80,789, $93,712)","£ 3,640,000 (€ 4,201,051, $4,873,003)"
